ORIGINAL TEXT	TRANSLATION
Original language summary: <br/> Francia - L'Assemblea parlamentare europea riunita nel palazzo del Consiglio d'Europa a Strasburgo vota per decidere quali città ospiteranno le sedi dell'Euratom, della Ceca e del Mercato Comune europeo: le tre città designate sono Milano, Strasburgo e Bruxelles.	Original language summary: <br/> France. The European Parliamentary Assembly meeting in the Council of Europe building in Strasbourg votes to decide which cities will host the seats of Euratom, the Ceca and the European Common Market: the three designated cities are Milan, Strasbourg and Bruxelles.
Mostra internazionale degli idrocarburi	International exhibition of hydrocarbons
Si tiene al palazzo dei Congressi dell'Eur il convegno del partito democristiano.	The conference of Christian Democracy Party is held at the Palace of Congresses of Eur.
"""Nel salotto de La nos. Sempre nella capitale lombarda un incontro della 'Milano che conta' organizzato da Guido Roncoroni e concluso con un'asta di quadri a beneficio della 'Pro-Juventute"""	"‘In the salon of La nos. Always in the capital city of Lombardy a meeting of the 'valuable Milan' organized by Guido Roncoroni and concluded with an auction of paintings for the benefit of’ Pro-Juventute """
8° Salone Internazionale della Tecnica	8th International Exhibition of Technology
Una bandiera per le 'Forze navali costiere'	"A flag for ""Forze navali costiere"" coastal naval forces"
Venezia - gran finale alla mostra del cinema	Venice: a grand final at the cinema exhibition
Top in cotone e seta stampato	Cotton and printed silk Top
Accademia Italiana per lo Sviluppo Economico e Sociale	Italian Academy for Economic and Social Development
Original language summary: <br/> L'ultimo scaglione del 1° reggimento è partito per Sacile	Original language summary: <br/> The last echelon of the 1st regiment left for Sacile
Original language summary: <br/> Sinistro senza gravi conseguenze nella capitale canadese	Original language summary: <br/> accident without serious consequences in the Canadian capital
Original language summary: <br/> Si celebra il 40° anniversario della battaglia di Vittorio Veneto	Original language summary: <br/> The 40th anniversary of the battle of Vittorio Veneto is celebrated
Conclusa la XIX Mostra di Venezia	the XIX Venice Exhibition is over
[Primo piano su Les must de Cartier]	[Close-up on Les must de Cartier]
Original language summary: <br/> Giuseppe Roncalli, Patriarca di Venezia, è asceso alla Cattedra di Pietro	Original language summary: <br/> Giuseppe Roncalli, Patriarch of Venice, ascended to Peter's Chair
Abito in jersey di seta	Silk jersey dress
[Taormina. Consegna dei premi dell'Aises ad imprenditori e professionisti]	[Taormina. Award of Aises prizes to entrepreneurs and professionals]
Original language summary: <br/> Da San Pietro il nuovo pontefice ha benedetto Roma ed il mondo	The new Pope blessed Rome and the world from St. Peter
Original language summary: <br/> Il Segretario di Stato americano si è incontrato a Formosa con Chiang-Kai-Schek per discutere la delicata questione delle Quemoy	Original language summary: <br/> US Secretary of State met Chiang-Kai-Schek in Formosa to discuss the delicate issue of Quemoy
Original language summary: <br/> Tutto il mondo in San Pietro per l'estremo saluto a Pio XII	Original language summary: <br/> All the world in St. Peter's for the extreme greeting of Pius XII
Abito lungo in seta ricamata	Long dress made of embroidered silk 
Original language summary: <br/> Stati Uniti: Sfilata a Beverly Hills	Original language: <br/> United States: fashion show in Beverly Hills
Original language summary: <br/> Stati Uniti: Tuffatori comici intrattengono i clienti di un albergo di Miami	Original language language: <br/> United States: comic divers entertain clients of a hotel in Miami
Caleidoscopio Ciac C1963, 10/06/1970	Caleidoscopio Ciac C1963, 10/06/1970
Caleidoscopio Ciac C1452, 13/09/1962	Chaleidoscope Ciac C1452, 13/09/1962
Cronache del mondo CM398, codice filmato: CM039803	Cronache del mondo CM398, movie code: CM039803
Original language summary: <br/> Il 'Processo al mito di Ulisse' e la consegna dei David di Donatello	Original language summary: <br/> The ‘Processo al mito di Ulisse' (Trial of Ulysses' Myth) and the delivery of David di Donatello
Original language summary: <br/> Spettacolare carosello di 200 motociclisti in piazza di Siena	Original language summary: <br/> Spectacular carousel show of 200 motorcyclists in Piazza di Siena
Original language summary: <br/> Germania: oltre le barriere di filo spinato alla ricerca della libertà	Original language summary: <br/> Germany: beyond the barriers of barbed wire in search of freedom
Original language summary: <br/> Un velo di lutto sul mondo per la morte del 'Pastor Angelicus'	Original language summary: <br/> A veil of mourning on the world after the death of 'Pastor Angelicus'
Il Concorso Nazionale di Moto-Aratura	National Competition of Moto-Aratura
Original language summary: <br/> Entro l'anno saranno aperti al traffico i primi tratti dell'importante arteria; il ministro Togni visita i tratti di San Donato Guardamiglio e Piacenza Sud - Parma	Original language summary: <br/> The first sections of the important road artery will be opened to traffic within the year. Minister Togni visits the sections of San Donato Guardamiglio and Piacenza Sud - Parma
L'Europeo Ciac E1113, 12/06/1958	L'Europeo Ciac E1113, 12/06/1958
Original language summary: <br/> Messico - Ad Huamalta tradizionale infiorata in onore della Vergine della Carità; Spagna: ad Alcoy si rievoca la battaglia dei cristiani contro i Mori	Mexico: traditional floral display in Huamalta celebrated in honour of the Virgin of Charity. Spain: the battle of Christians against Moors is reenacted in Alcoy
Original language summary: <br/> Imponente manifestazione di piazza ad Algeri a sostegno della sedizione dei militari che ha determinato in Francia l'avvento al potere di Charles De Gaulle	Original language language: <br/> Impressive demonstration in Algiers to support the sedition of soldiers that led to Charles De Gaulle's coming to power in France
Original language summary: <br/> A maggio, sul lago Maggiore, si svolge la festa dei tulipani	Original language: <br/> On the Maggiore lake in May there is the tulip feast
Original language summary: <br/> Ad Amburgo vengono educati nella stessa scuola bambini di diverse nazioni	In Hamburg, children from different countries are educated in the same school.
Original language summary: <br/> Il titolo è andato a Milena Vanni, sorella di Eloisia Cianni	Original language summary: <br/> The title went to Milena Vanni, Eloisia Cianni's sister
Tre milioni di profughi	Three millions of refugees
Original language summary: <br/> La tredicesima unità della flotta ENI	Original language summary: <br/> Thirteenth unit of ENI fleet
Caleidoscopio Ciac C1717, 10/09/1965	Chaleidoscope Ciac C1717, 10/09/1965
Italia, Pisa.	Italy, Pisa.
Lungo vestito	Long dress
Mostra di costumi di scena della Fondazione Cerratelli. Costumi realizzati, nel Novecento, da costumisti di fama internazionale per i più importanti teatri di tutto il mondo e per il cinema.	Exhibition of stage costumes of the Cerratelli Foundation. Costumes made in the twentieth century by internationally renowned costume designers for the most important theatres worldwide and for cinema.
Il look è composto da un abito in lana bouclé con giacca mezzopetto con collo a lancia e un paio di pantaloni dritti, una camicia con armatura a microgeometrie e un gilet in lana damier.	The look consists of a bouclé wool suit with half-breasted jacket with a peak collar and a pair of straight trousers, a shirt with microgeometric pattern and a damier wool waistcoat.
Il look è composto da un giaccone imbottito dal volume scampanato, da un paio di pantaloni dritti in cotone a coste ed è arricchito da un foulard in velluto nero con microfantasia dorata.	The look is composed of an padded jacket, a pair of straight trousers made of ribbed cotton and enriched by a black velvet foulard with golden micro pattern.
Il look è composto da un a camicia bianca con taschino, un pantalone morbido e un bomber in patch di pelle a motivo geometrico.	The look is composed of a white shirt with a pocket, a soft trousers and a bomber in geometrical leather patches.
Costumi cinematografici	Film costumes
Doppiopetto giacca, fondo aperto pantaloni	Double breasted jacket, flared trousers
Abito in seta in tinta unita di colore nero, con collo ovale, spallina larga, vitina gioiello con applicazioni in plastica, vita alta, linea svasata. Fodera in seta di colore nero.	Dress in black silk with oval neckline, wide shoulder, waist embroidered with plastic applications, high waist, flared line. Black silk lining.
Palazzo dei Congressi di Roma	Palazzo dei Congressi, Rome
Diego Abatantuono appoggiato ad una colonna con una mano nella giacca indossa una sciarpa di lana	Diego Abatantuono rests on a column with a hand in his jacket wearing a wool scarf
Algeria - visita del generale De Gaulle	Algeria. visit of General De Gaulle
Numero speciale. Le elezioni politiche italiane del giugno 1975	Special issue: Italian political elections of June 1975
Dal 1° Congresso Federalista dell'Aja alla creazione del Consiglio d'Europa; il 'pool' del carbone e dell'acciaio; problemi risolti e da risolvere; i primi passaporti 'europei'; verso l'Unità d'Europa.	From 1st Federalist Congress of the Hague to the creation of the Council of Europe; the ‘pool’ of coal and steel; problems solved and to be solved; the first ‘European’ passports; towards the Unity of Europe.
Italia - Consegnate a Roma le Maschere d'argento	Italy: Silver Masks awarded in Rome
Caleidoscopio Ciac C1777, 10/11/1966	Caleidoscopio Ciac C1777, 10/11/1966
Original language summary: <br/> Consegnato il nuovo vessillo alla presenza del Vice Presidente del Consiglio, On.Segni	Original language summary: <br/> The new flag is delivered in the presence of Vice President of Council, On.Segni
Caleidoscopio Ciac C1178, 09/1959	Ciac Kaleidoscope C1178, 09/1959
Original language summary: <br/> Inaugurata a Piacenza la terza edizione dell'importante rassegna	Original language summary: <br/> The third edition of the important exhibition was inaugurated in Piacenza
Original language summary: <br/> Inaugurata dal Presidente del Consiglio la XXII Edizione	Original language summary: <br/> President of Council inaugurates the XXII Edition
Original language summary: <br/> Il rientro a Roma del Presidente della Repubblica	Original language summary: <br/> President of Republic returns to Rome
Sette G S0427, 27/06/1975	Sette G S0427, 27/06/1975
Festa dei tulipani a Villa Taranto	Festival of tulips in Villa Taranto
Gli interventi pubblici per la rinascita economica della Sardegna: potenziare il turismo e incentivare i nuclei industriali esistenti del sughero e delle cartiere	Public interventions for the economic revival of Sardinia: enhancing tourism and promoting existing industrial cork and paper centres
"Notizie brevi da ...
    ... Roma
    ... Parigi
    ... Roma
    ... Londra
    ... Amiene
    ... Piedimonte d'Alife"	Short news from... Rome... Paris... Rome... London... Piedimonte d'Alife
Edizione speciale della XXa Mostra d'arte cinematografica	Special edition of the XXth Cinematic Art Exhibition
F.A. Murray presenzia ad un talk show	F.A. Murray attending a talk show
Per le elezioni politiche una panoramica sull'Italia	An overview of Italy for political elections
"Il cast di Un ragazzo di Calabria
					Jean Rene Maserevery, Santo Polimeno, Diego Abatantuono, il regista Luigi Comencini, Therese Liotard, Giada Faggioli, Gian Maria Volontè"	The cast of Un ragazzo di Calabria Jean Rene Maserevery, Santo Polimeno, Diego Abatantuono, director Luigi Comencini, Therese Liotard, Giada Faggioli, Gian Maria Volontè
Pavia: Mostra Arte e terzo mondo	Pavia: Art Exhibition and Third World
"Obbiettivo sul mondo
    Roma
    Nhatrang
    Ciampino
    Jelenia Gora
    Cordero"	Objective about the world Rome: Nhatrang Ciampino Jelenia Gora Cordero
Original language summary: <br/> Al film giapponese 'L'uomo del Riksciò' il 'Leone d'oro'. A Sophia Loren e ad Alec Guinness le Coppe Volpi	Original language summary: <br/> The Japanese movie ‘Rickshaw Man’ wins the ‘Leone d'oro’ Sophia Loren and Alec Guinness win the Volpi Cups
Original language summary: <br/> Villa Demidoff a Pratolino assediata dai fotografi	Original language summary: <br/> Villa Demidoff in Pratolino besieged by photographers
Original language summary: <br/> Il cordiale incontro a Cadenabbia tra Fanfani ed Adenauer	Original language summary: <br/> The warm meeting between Fanfani and Adenauer in Cadenabbia
Original language summary: <br/> Avviata all'esportazione gran parte della produzione di Ravenna	Original language summary: <br/> Most of Ravenna's production was exported
Abito in misto cotone con impunture	Cotton blend dress with topstitching
Francia 2. La quinta repubblica (1958-1975)	France 2. The Fifth Republic (1958-1975)
Original language summary: <br/> Italia: nella saletta comunale di Palazzo dei Bruzzi a Cosenza personale della pittrice Maria Carbone	Original language language: <br/> Italy: in the municipal hall of Palazzo dei Bruzzi in Cosenza personal exhibition of painter Maria Carbone
Original language summary: <br/> Abbigliamento sportivo maschile.	Original language language: <br/> Male sportswear.
Original language summary: <br/> Germania: Un muro di cemento divide in due Berlino; Italia: Celebrata a Torino la Festa delle Guardie di Pubblica Sicurezza	Original language Original: <br/> Germany: a concrete wall divides Berlin. Italy: the Feast of Public Security Guards celebrated in Turin
Original language summary: <br/> In un teatro di Milano esordio teatrale di Ornella Vanoni.	Original language Original: <br/> Ornella Vanoni's theatrical debut in Milan
Original language summary: <br/> Italia: Manca vince a Cagliari l'incontro con un pugile olandese	Original language: <br/> Italy: Manca wins the match with a Dutch boxer in Cagliari
Original language summary: <br/> Personale del pittore Goffredo Paganini nelle sale dell'Associazione della Stampa Estera a Roma.	Original language language: <br/> Personal exhibition of painter Goffredo Paganini in the halls of the Association of Foreign Press in Rome.
Original language summary: <br/> Italia: inchiesta sulle automobili che circolano in Italia svolta in collaborazione con la rivista 'Autorama'. La Fiat 1300 / 1500	Original language language: <br/> Italy: survey on cars circulating in Italy in collaboration with the magazine ‘Autorama.’ Fiat 1300/1500
Il servizio è dedicato alla mostra Arte e Terzo mondo. Gli incassi saranno devoluti alle popolazioni centroafricane.	The reportage is dedicated to the Art and Third World exhibition. Proceeds will be donated to the Central African populations.
Original language summary: <br/> A Corte di Cadore villeggiatura di lusso per i lavoratori	Original language summary: <br/> In Corte di Cadore luxury holiday for workers
Original language summary: <br/> 170.000 persone raccolte in preghiera nello Stadio Olimpico	Original language: <br/> 170.000 people praying in the Olympic Stadium
Original language summary: <br/> Come ogni anno migliaia di persone hanno atteso i giorni di Ferragosto per abbandonare in massa le città	Original language summary: <br/> As every year thousands of people waited for the days of Ferragosto to leave cities en masse
Esposte, nella villa Odescalchi di Silva Longoni, le opere di Siclari, Allievi, Baldan, Becheroni, Cajani, Emery. Il laboratorio, a Bollate, dei fratelli Toniutti, esperti nella composizione di mosaici.	In the Silva Longoni's Villa Odescalchi on view the works by Siclari, Allievi, Baldan, Becheroni, Cajani, Emery. In Bollate the workshop of the Toniutti brothers, experts in the composition of mosaics.
Original language summary: <br/> Il Presidente del Consiglio fa ritorno da un viaggio che ha creato delle buone premesse	Original language summary: <br/> The President of Council returns from a journey that has created good premises
Il XII Congresso della Democrazia Cristiana	The 14th congress of Christian Democracy
Original language summary: <br/> Brillante esibizione del Gruppo Folcloristico sardo	Original language summary: <br/> Brilliant performance of the Sardinian Folkloristic Group
Numero speciale per la XX Mostra del cinema di Venezia	Special issue for the 20th Venice Film Festival
Original language summary: <br/> Il nostro obiettivo in gita con Riccardo Bacchelli	Original language sumamry: <br/> Our goal on a trip with Riccardo Bacchelli
Original language summary: <br/> Simulata offensiva atomica nella piana del Vercellese	Original language summary: <br/> Atomic offensive simulation in the plain of Vercellese
Original language summary: <br/> Gara finale a Casal Palocco con l'intervento del Ministro Ferrari Aggradi	Original language summary: <br/> Final race in Casal Palocco with minister Ferrari Aggrado
Caleidoscopio Ciac C1287, 02/1961	Caleidoscopio Ciac C1287, 02/1961
Original language summary: <br/> Una grande manifestazione aerea a Soesterberg	Original language summary: <br/> A big air demonstration in Soesterberg
Original language summary: <br/> Alla ribalta 1500 espositori di 38 paesi	Original language summary: <br/> In the spotlight 1500 exhibitors from 38 countries
Original language summary: <br/> 70000 persone presenziano alla cerimonia nello Stadio Heysel	Original language summary: <br/> 70.000 people attend the ceremony at Heysel Stadium
Caleidoscopio Ciac C1245, 09/1960	Chaleidoscope Ciac C1245, 09/1960
Original language summary: <br/> Francia: 40.000 soldati di otto nazioni nella grotta di Bernadette	France: 40.000 soldiers from eight nations in the cave of Bernadette
Original language summary: <br/> Ottocentomila visitatori visitatori in cerca di curiosità	Original language: <br/> Eight hundred thousand visitors looking for curiosities
Original language summary: <br/> Operoso e fecondo cammino della grande rassegna economica veneta	Original language summary: <br/> industrious and fruitful journey of the great Venetian economic exhibition
Original language summary: <br/> I fatti d'Algeria determinano il collasso della quarta repubblica. Coty offre a De Gaulle l'incarico di formare il governo con pieni poteri	Original language: <br/> The events of Algeria lead to the collapse of the Fourth Republic. Coty offers De Gaulle the task of forming the government with full powers
Fanfani ottiene l'unanimità su un documento che propone di abbandonare la politica centrista e di rilanciare le riforme.	Fanfani gets unanimity on a document proposing to abandon centrist politics and to relaunch reforms.
La XXXVI Fiera di Padova	The XXXVI Fair of Padua
Original language summary: <br/> L'imponente parata militare sulla via dei Fori Imperiali	The impressive military parade on the Via dei Fori Imperiali.
Cronache del mondo CM443, codice filmato: CM044304	Chronicles of the world CM443, movie code: CM044304
Pio XII è tornato per sempre nella sua Roma	Pius XII is back forever in his Rome
Original language summary: <br/> Delicata situazione internazionale per gli avvenimenti di Bagdad	Original language summary: <br/> Delicate international situation because of the events in Baghdad
Original language summary: <br/> Inghilterra: alluvioni anche in luglio Stati Uniti: reattori militari statunitensi hanno segnato un nuovo record per voli transatlantici; la versione civile del reattore 707	Original language summary: <br/> England: floods in July United States: US military reactors marked a new record for transatlantic flights; civilian version of reactor 707
Il cappellone degli spagnoli	"""Il cappellone degli spagnoli"" (Spanish big chapel)"
Original language summary: <br/> Grandi festeggiamenti per l'800° Anniversario della città	Original language summary: <br/> Big celebrations for the 800th anniversary of the city
Original language summary: <br/> Una riuscita manifestazione nell'ambito della fiera di Trieste	Original language summary: <br/> A successful event within the context of the Trieste fair
Original language summary: <br/> La preziosa opera progettata dal Talenti e affrescata dal Buonaiuti va lentamente deteriorandosi	Original language summary: <br/> The precious work designed by Talenti and frescoed by Buonosa slowly deteriorates
Il look è composto da una giacca monopetto, ampi pantaloni in lino, una camicia classica e un gilet.	The look is composed of a single-breasted jacket, wide trousers in linen, a classic shirt and a waistcoat.
Miniabito in pizzo misto cotone	Lace and cotton minidress
Original language summary: <br/> Italia: Il presidente Segni inaugura la centrale termoelettrica di La Spezia; Germania: Inaugurato l'Oktoberfest a Monaco; Italia: Campagna informativa contro la cattiva abitudine di gettare oggetti dai finestrini dei treni; La moglie del presidente di uno stato africano parte da Roma dopo aver incontrato il Papa; Presentata a Milano la nuova rivista Panorama	Original language language: <br/> Italy: President Segni inaugurates the thermal power plant in La Spezia. Germany: inaugurated the Oktoberfest in Munich. Italy: information campaign against the bad habit of throwing objects from the windows of trains. The wife of the president of an African state leaves Rome after meeting the Pope. The new magazine Panorama presented in Milan
"Numero Unico dedicato al funerale di Giuseppe Malacaria operaio socialista vittima di una bomba lanciata a Catanzaro contro un corteo antifascista il 4 febbraio 1971.
    La bomba provocò anche il ferimento di altre sette persone. Riferimenti anche alla rivolta di Reggio Calabria, alla strage di Piazza Fontana ed alla situazione politico sociale dei cosiddetti anni della ""strategia della tensione""."	Unique issue dedicated to the funeral of Giuseppe Malacaria a socialist worker victim of a bomb thrown in Catanzaro against an antifascist march on February 4, 1971. The bomb also caused the wounding of seven other people. References also to the rebellion of Reggio Calabria, the massacre of Piazza Fontana and the social political situation of the so-called ‘strategy of tension.’
