ORIGINAL TEXT	TRANSLATION
Ce fragment d'applique en os, datant probablement du second siècle de notre ère, illustre un thème d'origine païenne: l'amour vendangeur. Représenté sur un fond de feuilles de vigne, l'enfant au visage plein porte sur la tête une corbeille remplie de grappes de raisins. Cette iconographie survivra dans l'art paléochrétien. Fouille : E.E.F. 1913-1914	This fragment of a bone, probably dating from the second century of our era, illustrates a theme of pagan origin: the 'amour vendangeur'. Represented on a base of vine leaves, the child with a full face carries on his head a basket filled with clusters of grapes. This iconography will survive in paleo-Christian art. Excavation: E.E.F. 1913-1914
activiteit	Activity 
comédien	comedian
Fouille : Griffith 1913-1914	Excavation: Griffith 1913-1914
Fragment	Fragment
Émail	Enamel
nacre	Nacre
ivoire	ivory
peau animale	animal skin
ex-voto	ex-voto
Morceaux de fanet	Pieces of a lantern
prie-Dieu	prie-Dieu
Cercueil	Coffin
fil d'or	golden thread
dais de procession	procession dais
bannière de procession	procession banner
Tapisserie	Tapestry
croix de procession	procession cross
event	event
Cercueils d’Ousirmes et momie anonyme	Ousirmes coffins and anonymous mummy
laine	wool
tapisserie[technique]	tapestry [technical]
Oeil oudjat	Udjat eye
Fouille : Oxford Univ. 1933	Excavation: Oxford Univ. 1933
Amulette (bijou)	Amulet (jewel)
Lapis Lazuli	Lapis Lazuli
Tête d'épingle	Pin head
Statue de Djed-Hor	Statue of Djed-Hor
Statue	Statue
Granite	Granite
Soie avec palmette bifide	Silk with bifid palmette
Empreinte de sceau	Seal imprint
Fouille : FERE 1938	Excavation: FERE 1938
Sceau	Seal
Argile	Clay
"Plat-""noun"""	Plat- ‘knotn’
Faïence	Faience
Plat	Plate
Ornement de tête	Head ornament
Collection Amérique	America Collection
Collection Islam	Islam collection
Textile	Textile
Soie (animal); Samite	Silk (animal); Samite
Ensemble de dix carreaux de revêtement mural	Set of ten wall tiles
number-of-objects: 10	number-of-objects: 10
Gobelet	Beaker
Céramique; Tournage; Engobe	Ceramic; Shooting; Engobe
Fibule	Fibula
Céramique; Tournage	Ceramic; Shooting
Petite boucle à double anneau.	Small buckle with double ring.
Coupe	Cup
Verre (matière)	Glass (material)
Pot	Pot
Aiguilles à chas	Eyelet needles
Ibi	Ibi
Aiguille	Needle
Os	Bone
Carreau de revêtement	Coating tile
Assiette	Plate
Terre	Clay
Grès (céramique)	Stoneware (ceramic) 
Bol	Bowl
Terre cuite	Terracotta
Cachet (sceau)	Stamp seal
Petit grelot	Small bell
Hache	Axe
Bronze	Bronze
Collection Inde et Asie du Sud-Est	India and South East Asia Collection
Ornements d'oreille pour femme: 'taiana'	Earrings for women: ‘taiana’
Taiana	Taiana
Ornement d'oreille	Ear ornament
Os; Conus (Conus sp.)	Bone; Conus (Conus sp.)
Appui-pied de bêche: 'teka'	Spade footrest: ‘teka’
Teka	Teka
Bêche	Spade
Collection Océanie	Oceania Collection
Bois	Wood
Géorgie: d’un rouge à l’autre	Georgia: from one red to the other
C'est à voir	This is to be seen
La Grèce des généraux	Greece of Generals
9 Millions 9	9 Million 9
Ben Bella	Ben Bella
Israël à l’heure d’Eichmann	Israel at the time of Eichmann
9 Millions	9 Million
14/18	14/18
Quand s’ouvrirent les grilles  - Partie 3	When the grids opened - Part 3
"Original language summary: <br/>
L’univers concentrationnaire par ceux qui l’ont subi : la révélation soudaine de l’enfer sur terre, les privations, les mauvais traitements, la faim, l’obsession permanente de la déchéance physique et morale."	Original language summary: <br/> The concentrational universe by those who suffered it: the sudden revelation of hell on earth, deprivation, bad treatments, hunger, the permanent obsession with physical and moral decay.
Iran : femmes au service de Dieu	Iran: women serving God
C’est  à voir	This is to be seen
La guerre et la paix ?	War and peace?
Photographies du futur	Photographs of the Future
Affiches de la première guerre mondiale	World War I Posters
Au quotidien	Day by day
Pilotes, à quel prix?	Pilots, at what price?
L'armée, pour quoi faire?	What is the army for?
Israël, demain la paix	Israel, peace tomorrow
A Suivre	To be continued
Chômage	Unemployment
Situation 75	Situation 75
Les hommes de pierre	Stone men
Reports	Reports
Reportages	Report
Visite à Lessines	Visit to Lessines
2 temps, 3 mouvements	2 times, 3 movements
Autant Savoir	To Know
La femme dans l'économie	Women in the economy
Télévision scolaire	School television
La fabrication de squelettes	Manufacturing skeletons
9.000.000	9,000,000
Ernest Solvay	Ernest Solvay
Zénobe Gramme	Zenobus Gramme
Double Sept	Double Seven
La fabrication du sucre	The manufacture of sugar
On n'est pas des pigeons	We are not pigeons
La révolution silencieuse	The silent revolution
Minute Papillon	Not so fast!
Jardinage 29/5/1976	Gardening 29/5/1976
Jardinage	Gardening
Du pétrole belge?	Belgian oil?
Aujourd'hui	Today
Tchernobyl	Chernobyl
Elémentaire mon cher Einstein	Elementary my dear Einstein
Marc Scheps	Marc Scheps
Métamorphoses	Metamorphoses
Chlorophylle et oxygène	Chlorophyll and oxygen
Capital nature	Nature capital
Double 7	Double 7
Situation 76	Situation 76
Nucléaire : choix ou pari ?	Nuclear: choice or bet?
Ce soir 19/8/86 (Cochenilles)	Tonight 19/8/86 (cochineal insects)
Ce Soir	Tonight
A vous de choisir	You choose
Les industries propres	Clean industries
Autant  Savoir	To Know
Les microclimats en Belgique	Microclimates in Belgium
Antenne-Soir	Antenne-Soir
Antenne Soir	Antenna Soir
Commandos écolos	Green commandos
Au nom de la loi	In the name of the law
"Original language summary: <br/>
L’environnement, devenu artificiel et technologique, a répondu aux aspirations des habitants de la planète, mais la croissance de l’humanité fait grandir les effets secondaires  à un degré progressivement insupportable, à un point de rupture."	Original language summary: <br/> The environment, which has become artificial and technological, has responded to the aspirations of the inhabitants of the planet, but the growth of humanity makes the side effects grow to a progressively unbearable degree, to a breaking point.
Le Parc National d'Akagera	Akagera National Park
Niouzz	Niouzz
La Wallonie après 10 ans de CEE	Wallonia after 10 years of EEC
Wallonia 68	Wallonia 68
Décode	Decode
Pierre Wynants	Pierre Wynants
Portrait	Portrait
Astérix le Gaulois	Asterix the Gaul
Adaptation	Adaptation
Fiction	Fiction
Documentaire	Documentary
Beaux arts	Fine arts
REPAORTAGE	REPAORTAGE
Retransmission	Retransmission
Sports	Sports
Variétés	Varieties
Journal télévisé	Tv News
Document à base d'archives	Archive-based document
Plateau invité : Loubna Méliane	Guest speaker: Loubna Méliane
Interview entretien	Interview
Société	Society
Animation	Animation
Politique	Policy
Extrait	Extract
Information	Information
Portrait François Hollande	Portrait François Hollande
Vie professionnelle	Professional life
Arcelor et Mittal Steel ont fusionné	Arcelor and Mittal Steel merged
Déclaration	Statement
Economie	Economy
Alain Robert : l'homme araignée	Alain Robert: spider man
Urbanisme	Urban planning
Débat	Debate
Médecine santé	Health medicine
Brève	Brief
Loisirs	Leisure
Document amateur	Amateur document
Monument et architecture	Monument and Architecture
Plateau en situation	Tray in a situation
Band Aid : appel de Michel Berger	Band Aid: call by Michel Berger
Campagne d'information	Information campaign
Entretien	Maintenance
Education pédagogie	Educational pedagogy
Emission à base de disques	Disc based program
Akousma du 09 juillet 1995	Akousma of 09 July 1995
Interprétation	Interpretation
Musique savante	Scholarly music
Entretien avec Pierre Halet	Conversation with Pierre Halet
Interview	Interview
Théâtre	Theatre
La Fête de la Musique	Music Festival
Journal parlé	Spoken newspaper
Arts	Arts
Musique	Music
Récit portrait	Portrait Story
Le Jura	The Jura
Chronique	Chronicle
Tourisme	Tourism
Revue de presse	Press review
Papier	Paper
Media	Media
Causerie	Hatchery
Sciences	Science
Bruitage image sonore	Sound effects image
Technologie	Technology
Publicité pour le Thé des familles 1	Advertising for Family Tea 1
Message publicitaire	Advertising message
Vie quotidienne	Daily life
Elément brut	Raw element
Témoignage	Testimony
Danse	Dance
Création sonore	Sound creation
Musique vocale	Voice music
Conférence de presse	Press conference
Aventure exploration	Exploration Adventure
Casamayor	Casamayor
Spectacle radio	Radio show
Justice	Justice
Magazine	Magazine
Angola	Angola
Industrie	Industry
Création audiovisuelle	Audiovisual Creation
Montage d'archives	Editing of archives
Histoire	History
Cours de danse	Dance lessons
Sketch	Sketch
Humour	Humor
La bête du Gévaudan	The Beast of Gévaudan
Lecture	Reading
Fantastique	Fantastic
Cours d'enseignement	Teaching lessons
Philosophie	Philosophy
Making of	Making of
Ethnologie	Ethnology
Réalisation dans un lieu public	Shooting in a public place
Cirque	Circus
La Maison Boussikof	The Boussikof House
Feuilleton	 Feuilleton 
Faune	Fauna
Plateau d'analyse	Analysis Tray
Jazz	Jazz
Générique	Generic
Géographie	Geography
"Dernière émission de ""Temps X"""	Last broadcast of ‘Time X’
Plateau de présentation	Presentation tray
Science fiction	Science fiction
Littérature	Literature
Tranche horaire	Hourly range
Micro trottoir	Micro sidewalk
Sociologie	Sociology
Enterrement de la vie de garçon	Burial of the life of a boy
Spectacle TV	TV show
Tradition ethnique et populaire	Ethnic and popular tradition
Météo marine	Marine weather
Message info	Info message
Environnement	Environment
Clara et l'héritage	Clara and the legacy
Dramatique	Dramatic
Intrigue policière	Police plot
Pirates de la couture	Sewing Pirates
Docufiction	Docufiction
Artisanat	Crafts
Faux direct	Fake direct
Religion	Religion
Oeuvre enregistrée en studio	Work recorded in studio
Psychologie	Psychology
Cinéma	Cinema
Spot spécial festival de Cannes 1984	Special festival of Cannes 1984
Bande annonce	Announcement band
Fétiche	Fetish
Idole	Idole
Scarabée	Scarab
Faits divers	Various facts
Reportage	Report
Marion	Marion
La vie en rose	Life in Pink
Améthyste	Amethyst
Pernette	Pernette
Mars	Mars
Bijou	Jewel
Perle noire	Black bead
Bleuet	Cornflower
Cartouche	Cartridge
Chypre	Cyprus
Onyx	Onyx
Charivari	Charivari
Princesse	Princess
Colombe	Dove
Panthère	Panther
Grelot	Grelot
Trompette	Trumpet
Serpentine	Serpentine
Grenade	Grenada
Rouffiange, Roger	Rouffiange, Roger
Achat Inconnu	Unknown Purchase
Isis	Isis
Christia	Christia
Francette	Francette
Don manuel Goma, Michel	Donation manuel Goma, Michel
Camisole à la polonaise	Polish camisole
"Description figurant sur le 31e cahier des ""Costumes français"", 24e suite d'Habillements à la mode en 1780, vol. II, pl. 186, gravé par Dupin, éd. Cornu, pl. n° 141 :
Camisole ou caraco à la polonaise de mousseline des Indes, doublée de taffetas rose, tapé renversé surmonté d'un chapeau au coeur constant, en gaze noire rayée et ceint d'un ruban de couleur de rose."	Description on the 31st notebook of ‘French Costumes,’ 24th suite of fashionable dressing in 1780, vol. II, pl. 186, engraved by Dupin, ed. Cornu, pl. n ° 141: Polish caraco or camisole from the West Indian chiffon, lined with pink taffeta, taped with a hat with constant heart, in striped black gauze and decorated with pink colored ribbon.
Mode d'acquisition inconnu	Unknown acquisition mode
Mosaïque	Mosaic
Croquis d'un modèle de tailleur	Sketch of a suit Model
Croquis d'un modèle de robe	Sketch of a dress model
Obsidienne	Obsidian
Argent	Silver
Croquis d'un modèle de robe.	Sketch of a dress model.
Croquis d'un modèle Carven.	Sketch of a Carven model.
Amphore	Amphora
Brique	Brick
Croquis d'un modèle de tailleur.	Sketch of a suit model.
Alice	Alice
Béryl	Beryl
Tortue	Tortoise
Tambour	Drum
Eté 1959	Summer 1959
Turquoise	Turquoise
Gazelle	Gazelle
Amulette	Amulet
Cornaline	Cornaline
Quartz	Quartz
Calcédoine	Calcedony
Hiver 1960	Winter 1960
Silex	Silex
Bouchon	Plug
Ensemble	Set
Don manuel Hug (Madame)	Manual donation Hug (Madame)
Moule	Mould
Hochet	Hochet
Canard	Canard
Dessin dans l'album	Drawing in the album
Nacre	Nacre
Noix de coco	Coconut
Achat Derumaux, Maurice G.	Buy Derumaux, Maurice G.
Don manuel Hardion, Bernard	Handle gift Hardion, Bernard
Robe courte en jersey de laine vert cru, col rond avec petite pointe, manches courtes montées à plis formant drapés, corsage à empiècement et drapés sur la poitrine, taille basse, jupe large montée à plis formant boudin sur les hanches, fermeture milieu devant par agrafes, doublure du corsage en mousseline de soie écrue.	Short dress in raw green wool jersey, round neck with small tip, short sleeves fitted with draped folds, corsage with encroachment and draped on the chest, low waist, wide skirt mounted with folded shape on the hips, middle closure in front by staples, lining of the corsage in unbleached silk chiffon.
Robe et sa ceinture en jersey de viscose grenat entièrement plissé. Robe habillée, entièrement plissée, jupe mi-longue, empiècement avec torsades plissées, froncée à la taille, manches longues torsadées, coulisse au poignet, fermée milieu devant, doublure en taffetas de fibres artificielles rouge, fermeture par 19 agrafes. Ceinture en lacet.	Robe and its belt in jerrsey of fully pleated garnet viscose. Dressed dress, fully pleated, half-long skirt, encroaching with pleated twists, shivered to the waist, long twisted sleeves, sliding to the wrist, closed middle in front, taffeta lining of red artificial fibers, closing by 19 staples. Yaw belt.
Robe-bustier en taffetas de soie noir, corsage drapé à découpes en pointes et nœud sur le décolleté, taille ajusté par une série de pinces et découpes en biais, jupe asymétrique à quille montée à plis couchés sur côté droit. Fermeture à glissière côté droit. Fond de robe en mousseline noire baleiné avec porte-jarretelles.	Shrub in black silk taffeta, draped bodice with pointed cutouts and knot on the neckline, size adjusted by a series of pincers and slices in bias, asymmetrical skirt with mounted keel with folds lying on the right side. Closure with slide on the right side. Bottom of a black whorled chiffon dress with suspender holder.
Robe longue et guimpe incrustée en crêpe de soie rouille en pointe sur les épaules et le devant. Grands pans plissés drapés sur les bras laissant entrevoir sur le ventre le fond de robe en crêpe rouille doté de petites manches non visibles. Plissés piqués le long de la taille. Fermeture milieu dos par 27 agrafes. Ourlet de la jupe plat.	Long dress and guimpe inlaid in rusty silk pancake in point on the shoulders and front. Large pleated pans draped on the arms letting glimpse on the belly the background of a rusty pancake with small unvisible sleeves. Plissé pierced along the waist. Closure middle back by 27 staples. Ourlet of the flat skirt.
Robe de mariée en Cigaline crin de Nylon de Bucol blanche à jupe ample plissée à la taille. Petite encolure V, buste ajusté en crêpe ivoire rabattu de cigaline. Manches très amples constituées d'enroulements de cigaline froncés à la tête de manche. Fermeture milieu dos par glissière métallique surmontée de 2 agrafes. Petite ceinture de taille interne. Jupe non doublée.	Wedding dress in Cigalin crin of Nylon of White Bucol with wide skirt pleated to the waist. Small neckline V, fitted bust in ivory pancake, folded with cigaline. Very loose handles made of curled cigaline windings to the handle head. Mid back closure by metal slide surmounted by 2 staples. Small belt of internal size. Unlined skirt.
"Légende du dessin gravé : 
 ""Cet habit est imité de celui du temps d'Henri IV"", a été porté aux bals et fêtes des frères du roi pour recevoir l'archiduc d'Autriche, chapeau à la Henri IV, crevés sur le pourpoint, trousses ""adopté"" au Théâtre français pour la reprise de Guillaume Tell, tragédie."	Legend of the engraved design: ‘This habit is imitated from the time of Henry IV,’ was brought to the king’s brothers' balls and parties to receive the Archduke of Austria, hat to Henry IV, dug on the doorstep, ‘adopted’ kits at the French Theatre for the recovery of William Tell, tragedy.
Feuille de papier perforée dessinée sur le recto	Perforated sheet of paper drawn on the front
Manteau marron à quatre poches raglan sur la partie haute et chapeau assorti	Brown coat with four raglan pockets on the high part and matching hat
Dessins de la collection Carven de l'été 1960 réunis en album.	Drawings of the Carven collection from the summer of 1960, gathered as an album.
Edition spéciale : l'euthanasie [émission du 21 mars 2008]	Special edition: euthanasia [21 March 2008]
Microtrottoir sur la fin du monde	Micropavement on the end of the world
Référence Géographique >  Afrique >  Afrique septentrionale >  Égypte >  Haute-Égypte (région) >  Luxor (gouvernorat) >  Karnak	Geographical Reference> Africa> North Africa> Egypt> Upper Egypt (region)> Luxor (governorate)> Karnak
"Référence Géographique >  Asie >  Proche et Moyen Orient
Référence Géographique >  Asie >  Proche et Moyen Orient
Référence Géographique >  Asie >  Proche et Moyen Orient"	Geographical Reference> Asia> Near and Middle East Geographical Reference> Asia> Near and Middle East Geographical Reference> Asia> Near and Middle East
Grande coupe, décorée extérieurement d'un lotus aux pétales pointus	Large bowl decorated outwardly with a lotus with pointed petals
Object: Musée Curtius, Liège.	Object: Curtius Museum, Liège.
Object: Eglise Saint-Barthélemy[Liège], Liège.	Object: Saint-Barthélemy Church [Liège], Liège.
Plaque-boucle à plaque linguiforme à 5 bossettes et à boucle rectangulaire avec ardillon rond.	Buckle plate with tongue-shaped plate with 5 round headed nails and rectangular buckle with round prong.
Achat Villa Rosemaine	Buy Villa Rosemaine
Ensemble de modèles de la collection, Printemps 1947, de la maison Marcelle Dormoy	Set of models from the collection, Spring 1947, of the Marcel Dormoy house
Ensemble rouge à boutonnage sur le devant de Jeanne Lanvin, Fonds d'archives graphiques de Roger Rouffiange	Red set with buttoning on the front of Jeanne Lanvin, Roger Rouffiange Graphic Archive Fund
Figure en robe noire évasée et décolletée en v , Dessin de la collection de la maison Premet, 1928	Figure in in black flared and v-shaped dress, Drawing of the Collection of the Premet House, 1928
Ensemble de dessins pour la maison Jean Patou, vers 1972, Fonds d'archives graphiques de Michel Goma	Set of drawings for the Jean Patou house, around 1972, Michel Goma’s Graphic Archive Fund
Deux figures en manteau avec étole, Marcelle Dormoy, Eté 1950	Two figures in a coat with stole, Marcel Dormoy, Summer 1950
Ensemble de modèles de la collection, Eté Automne 1941, de la maison Marcelle Dormoy	Set of models from the collection, Summer-Autumn 1941, of the Marcel Dormoy house
"En haut, au milieu, au crayon graphite: ""Pernette."""	Above, in the middle, with graphite pencil: ‘Pernette.’
"Original language summary: <br/>
Colloque Entretiens 75 au Théâtre Jean Vilar près de Paris : Le Parti Socialiste français a invité 25 économistes de renommée mondiale de 15 pays différents pour débattre de la crise."	Original language summary: <br/> Colloquium Entretienne 75 at the Jean Vilar Theatre near Paris: The French Socialist Party invited 25 world-renowned economists from 15 different countries to discuss the crisis.
"Au recto, à l'encre noire, en haut à droite : ""Améthyste"""	On the front, in black ink, at the top right: ‘Amethyst’
"Inscription du titre du modèle à l'encre noire, au recto, en haut à droite : ""Reportage"""	Inscription of the title of the model in black ink, on the front, at the top right: ‘Report’
"Au recto, à l'encre noire, en haut à droite: ""Faits Divers"""	"On the front, in black ink, at the top right: ‘ Various facts"""
"Inscription du titre du modèle à l'encre noire, au recto, en haut à droite : ""Scarabée"""	Inscription of the title of the model in black ink, on the front, at the top right: ‘Scarab’
"En haut, à gauche, au crayon graphite :""Satin blanc/ Ceinture doublée velours orange"""	Above, on the left, with graphite pencil: ‘White satin/Orange velvet lined belt’
"Inscription en haut à gauche, au crayon graphite : ""Satin noir plisse soleil incrusté devant"" ; [ A droite ] : ""Fétiche""."	Inscription at the top left, with graphite pencil: ‘ Pleated black satin sun inlaid in front’; [To the right]: ‘Fetish.’
Boucle de soulier, d'ornement, ovale, sans chape et ardillon, très cintrée.	Oval, oval, solar-shaped buckle without claws and prong, very arched.
