ORIGINAL TEXT	TRANSLATION
Witsen-Schorr, Augusta Maria Agnes	Witsen-Schorr, Augusta Maria Agnes
Boissevain-van Lennep, Adrienne Minette	Boissevain-van Lennep, Adrienne Minette
Dorth, Johanna Magdalena Catharina Judith van	Dorth, Johanna Magdalena Catharina Judith van
Juliana (koningin der Nederlanden)	Juliana (Queen of the Netherlands)
Broche van alpaca met zwart gelakte tape. Erop staat BROOCH. Aan de achterzijde staat eveneens BROOCH, maar dan in spiegelbeld. De broche is voorzien van en haaksluiting.	Brooch made of alpaca with black lacquered tape. On it is written BROOCH. On the reverse it also says BROOCH, but in mirror bubble. The brooch has a hook fastener.
Horloge van bergkristal en goud, in de vorm van een latijns kruis.	Watch of rock crystal and gold in the shape of a Latin cross.
De eerste groep kinderen naar het Vacantie Kinderhuis	The first group of children to the Vacantie Kinderhuis
Opening van het park herstellingsoord in het oosterpark	Opening of the park convalescent resort in the east park
Demonstratie van de organisatie bescherming burgerbevolking	Demonstration of the civil protection organisation
Beelden van Groningen uit 1919. Bioscoopjournaals waarin Nederlandse onderwerpen van een bepaalde week worden gepresenteerd.	Images of Groningen from 1919. Film newsreels in which Dutch subjects of a particular week are presented.
Historische Geografische Referentie >  Afrika >  Oude Egypte >  Antinoé (Sheikh-'Ibada)	Historical geographical reference> Africa> Old Egypt> Antinoé (Sheikh- 'Ibada)
Historische Geografische Referentie >  Onbekend	Historical geographical reference> Unknown
Geografische Referentie >  Afrika >  Noord-Afrika >  Soedan >  Ash-Shamaliyah (regio) >  Nijl (provincie) >  Meroë	Geographical Reference> Africa> North Africa> Sudan> Ash-Shamaliyah (region)> Nile (province)> Meroë
Japanse propagandafilm (1941-1945). Indonesisch strijdlied uitgevoerd door een gemengd zangkoor met een vrouwelijke en mannelijke solist.	Japanese propaganda film (1941-1945). Indonesian battle song performed by a mixed singing choir with a female and male soloist.
Geografische Referentie >  Afrika >  Noord-Afrika >  Egypte >  Neder-Egypte (regio) >  Ash Sharqiyah (gouvernement) >  Tell el-Yahudiya	Geographical Reference> Africa> North Africa> Egypt> Lower Egypt (region)> Ash Sharqiyah (governorate)> Tell el-Yahudiya
Geografische Referentie >  Afrika >  Noord-Afrika >  Egypte	Geographical Reference> Africa> North Africa> Egypt
Geografische Referentie >  Azië >  Nabije en Midden Oosten >  Syrië	Geographical Reference> Asia> Near and Middle East> Syria
Filmbeelden over de bevrijding van Nederland. Beelden van  Hilversum, Valkenswaard, Bergeyk en Nijmegen met optochten van de geallieerden.	Film footage about the liberation of the Netherlands. Images of Hilversum, Valkenswaard, Bergeyk and Nijmegen with parades of the Allies.
Geografische Referentie >  Europa >  West-Europa >  Benelux >  België >  Wallonië >  Luik (provincie) >  Clavier	Geographical Reference> Europe> Western Europe> Benelux> Belgium> Wallonia> Liège (province)> Clavier
Zitting van het Permanente Hof van Internationale Justitie	Session of the Permanent Court of International Justice
Beelden van de Jaarbeurs in 1918 en 1919, die beide door koningin Wilhelmina en prins Hendrik werden bezocht. Bioscoopjournaals waarin Nederlandse onderwerpen van een bepaalde week worden gepresenteerd.	Images of the Annual Fair in 1918 and 1919, both of which were visited by Queen Wilhelmina and Prince Hendrik. Newsreels in which Dutch subjects of a particular week are presented.
Object: Reportage[niet gelokaliseerd], inconnue - onbekend.	Object: Reportage [not located], inconnue - unknown.
Object: Kapel H. Bloed, Brugge.	Object: Chapel H. Bloed, Bruges.
robijn	ruby
marsen	marching
Colour-coated plate in white clay with orange coating	Colour-coated plate in white clay with orange coating
Colour-coated plate in white clay with red-orange coating	Colour-coated plate in white clay with red-orange coating
Paar oorsieraden (taiana) voor een vrouw. Bestaat uit twee afzonderlijke delen: een witte knop van schelp en een klamp van been met mensenfiguurtjes (tiki).	Pair of ear jewellery (taiana) for a woman. It consists of two separate parts: a white button made of shell and a bone clamp with human figures (tiki).
Halssnoer met haakvormige hanger (lei niho palaoa). Het bestaat uit ongeveer 300 haarvlechten en werd gedragen door hooggeplaatste mannen en vrouwen.	Necklace with hook-shaped pendant (lei niho palaoa). It consists of about 300 hair braids and was worn by high-ranking men and women.
ebben	ebony
chrysoberyl	chrysoberyl
from the dealer J.M. Morpurgo, Amsterdam, fl. 50, to Maurits Elzas (1868-1937), Arnhem, 1931;{NHA, RBK, INV, inv. 1215, no. 113.} by whom bequeathed with 106 other watches, as part of the 'Maurits Elzas Collection', to the museum, 1937	from the dealer J.M. Morpurgo, Amsterdam, fl. 50, to Maurits Elzas (1868-1937), Arnhem, 1931; {NHA, RBK, INV, inv. 1215, no. 113.} by from bequeathed with 106 other watches, as part of the ‘Maurits Elzas Collection’, to the museum, 1937
collection Jonkheer C.H.C.A. van Sypesteyn, The Hague, 1932;{Note RMA.} from whom, fl 2,500, to Vereniging Het Kantsalet, 1933;{Note RMA.} by whom donated to the museum, 1933	collection Jonkheer C.H.C.A. van Sypesteyn, The Hague, 1932;{Note RMA.} from whom, fl 2,500, to Vereniging Het Kantsalet, 1933;{Note RMA.} by whom donated to the museum, 1933
Het redden van vee in het overstroomde gebied	Rescuing livestock in the flooded area
Twaalf en een half-jarig jubileum der doofstommenschool	 deaf-and-dumb school
Bezoek Japanse kroonprins aan ons land (HD)	Visit of Japanese crown prince to our country (HD)
Wegwedstrijd rondom de Haarlemmermeer	Road race around the Haarlemmermeer
"Bouwloterij ""Joodse Invalide"""	Construction lottery ‘Jewish Invalide’
metselaars	masons
Halssieraad	Necklace
Hanger van goud, email, parels en edelstenen. In het midden Cimon en Pero, geheel geëmailleerd.	Pendant of gold, enamel, pearls and gemstones. In the middle Cimon and Pero, completely enamelled.
Muiltje van leer met blad van stramien waarop met wol een zigzagpatroon geborduurd is (point d'hongrie) en aan de punt voorzien van een zilveren stootstuk	Leather slipper with blade of strames on which a zigzag pattern is embroidered with wool (point d'hongrie) and at the tip provided with a silver bump piece
Pop van hout met glazen ogen en kapsel van mensenhaar, gekleed in een japon (demi-parure) van gebloemde sits, bestaande uit een overjapon en een tablier	Wooden doll with glass eyes and hairstyle of human hair, dressed in a gown (demi-parure) of floral chintz made of an overdress and a tablier
Uitgebreide stadsshots van het centrum van Amsterdam, vooral de grachten en de Jordaan.	Extensive city shots of the centre of Amsterdam, especially the canals and the Jordaan.
Beelden van het Haagse deel van het bezoek dat de Japanse prinsen Hirohito en Kan-In aan ons land brachten. Prins Hendrik haalt de prinsen op aan het station S.S., waarna men in optocht naar het paleis Noordeinde gaat. De volgenade dag worden o.a. het Vredespaleis en het paleis Huis ten Bosch bezocht.	Images of the Hague part of the visit of the Japanese princes Hirohito and Kan-In to our country. Prince Henry picks up the princes at the station S.S., after which they go to the palace Noordeinde. The next day the Peace Palace and the Palace Huis ten Bosch are visited.
Veertiende deel van een serie vooroorlogse opnamen van Baroe Nederlands-Indie.	 Nederlands-Indie.
Schie	Schie
Weekjournaal van Polygoon Hollands Nieuws van week 26 uit 1933.	Week newsreel of Polygoon Hollands News of Week 26 from 1933.
studenten	students
Deel 1 van een flm in vier delen over Rotterdam en de Rotterdamse havens, gemaakt in opdracht van de gemeente Rotterdam en de plaatselijke industrieën en bedrijven.	Part 1 of a flm in four parts about Rotterdam and the Rotterdam harbours, commissioned by the city of Rotterdam and the local industries and businesses.
Stadsshots van Arnhem, Deventer, Rozendaal en andere locaties.  Bioscoopjournaals waarin Nederlandse onderwerpen van een bepaalde week worden gepresenteerd.	City shots of Arnhem, Deventer, Rozendaal and other locations. Film newsreels in which Dutch subjects of a particular week are presented.
abstraction	abstraction
Documentaire uit 1926 over de verkeerssituatie op de Nederlandse verkeerswegen, voornamelijk de hoofdverbindingsweg Zuid-Nederland - Noord-Holland. Met stadsbeelden van onder meer Antwerpen, Dordrecht, Zwijndrecht, Rotterdam, Amsterdam en Haarlem.	Documentary from 1926 about the traffic situation on the Dutch roads, mainly the main link road South Holland - Noord-Holland. With city footage of Antwerp, Dordrecht, Zwijndrecht, Rotterdam, Amsterdam and Haarlem.
Hout	Wood
Ovale doos in de vorm van een mand met naaigerij	Oval box in the shape of a sewing basket
Leren damesschoen, gedragen door freule Johanna Magdalena Catharina Judith van Dorth tot Holthuysen tijdens haar executie	Leather woman's shoe, worn by lady Johanna Magdalena Catharina Judith van Dorth tot Holthuysen during her execution
Horloge met uur, minuten en seconde-aanduiding	Watch with hour, minutes and second indication
Medaillon met de H. Helena met kruis en keizerskroon	Medallion with the H. Helena with cross and imperial crown
Object: Huis van Alijn, Gent.	Object: House of Alijn, Ghent.
Object: Kerk O.L.Vrouw[Brugge], Brugge.	Object: Church Of Our Lady [Bruges], Bruges.
Object: Museum Mayer van den Bergh, Antwerpen.	Object: Museum Mayer van den Bergh, Antwerp.
Object: Kathedraal O.L.Vrouw ten Hemel opgenomen, Antwerpen.	Object: Cathedral Of Our Lady, Antwerp.
Object: Provinciaal Museum Het Brugse Vrije, Brugge.	Object: Provincial Museum Het Brugse Vrije, Bruges.
Object: Stadsbibliotheek, Brugge.	Object: City Library, Bruges.
Object: Kerk Sint-Willibrordus[Antwerpen], Antwerpen.	Object: Church Saint Willibrordus [Antwerp], Antwerp.
Grote schaal, buitenzijde versierd met een lotus met spitse bloemblaadjes	Large dish, exterior decorated with a lotus with pointed petals
Armband met elementen in goud en lapis lazuli	Bracelet with elements in gold and lapis lazuli
Oorhanger met lam op het boek met zeven zegels	Ear pendant with lamb on the book with seven seals
Hanger van goud en email met borstbeeld Gustaaf Adolf	Pendant of gold and enamel with bust Gustaaf Adolf
Speelbeurs van groen fluweel geborduurd met verguld zilverdraad, op de bodem versierd met ongeïdentificeerd wapen van verguld zilverdraad, brokaat en vloszijde	Playing fair of green velvet embroidered with gilt silver thread, decorated on the base with unidentified weapon of gilt silver thread, brocade and floss silk
Horloge in schelpvormige kast van bergkristal. De zilveren wijzerplaat heeft ingelegde, Romeinse cijfers.	Watch in shell-shaped case of rock crystal. The silver dial has inlaid, Roman numerals.
Herenhorloge van goud met zilveren wijzerplaat. De achterbodem is geguillocheerd.	Men's watch of gold with silver dial. The back plate is guilloche.
Horloge van goud. Versierd met filigrein ornament en robijnen en opalen.	Watch of gold. Decorated with filigree ornament and rubies and opals.
Neuchâtel	Neuchâtel
Rozet de Rocozel de Fleury, Gabrielle Isabeau Thérèse de	Rozet de Rocozel de Fleury, Gabrielle Isabeau Thérèse de
Castries, Charles Eugène Gabriel de La Croix de	Castries, Charles Eugène Gabriel de La Croix de
Hanger in de vorm van een papegaai	Pendant in the shape of a parrot
collection the Backer Stichting, Amsterdam, date unknown; on loan to the museum, since 1960	Collection the Backer Stichting, Amsterdam, date unknown; op loan to the museum, since 1960
collection Susanna Maria van Pabst Rutgers (1826-98), Oosterbeek;{NHA, AHD, VER, inv. 1900.} her daughter, M.J.C.W. Linse (1865-1942), Oosterbeek; her heirs; by whom donated, with 66 other objects, to the museum, 1942	Susanna Maria van Pabst Rutgers (1826-98), Oosterbeek; {NHA, AHD, VER, inv. 1900.} her, M.J.C.W. Linse (1865-1942), Oosterbeek; her heirs; by collection donated, with 66 other), to the museum, 1942
Jacoba van Beieren (gravin van Holland, Zeeland en Henegouwen)	Jacoba of Bavaria (Countess of Holland, Zeeland and Hainaut)
Hanger in de vorm van een zeemeermin, van goud, email, robijnen, smaragden en parels.	Pendant in the shape of a mermaid, of gold, enamel, rubies, emeralds and pearls.
Hanger van goud en email, voorstellende het borstbeeld van Gustaaf Adolf in een lauwerkrans. Het medaillon is gesneden uit een munt.	Pendant of gold and enamel, depicting the bust of Gustav Adolf in a laurel wreath. The medallion is carved from a coin.
Klein belletje in de vorm van een vrucht in de vorm van een lel, ingezet met twee strepen in reliëf.	Small bell in the shape of a fruit in the shape of a lobe, staked with two stripes in relief.
Spoorwegen proberen automobilisten de trein in te krijgen	motorists 
Opening landbouwtentoonstelling	Opening of the agricultural exhibition
"Uniek wijkcentrum ""'t Karregat"""	Unique community centre ‘'t Karregat’
Vakschool voor typografie te Utrecht (HD)	School for typography in Utrecht (HD)
Minister Cals installeert Raad voor de Kunst	 Raad voor het Kunst
Elektrificatie van het spoorwegnet, het Miljoenenlijntje weer voor passagiersvervoer opengesteld	Electrification of the railway network, the Millions Line opened for passenger transport again
Kinderen tekenen dieren tbv wereld-dierendag sierhoender-expositie ''ornithophilia''	Children Drawing Animals from World Animal Day Ornithophilia
Nieuwe benzinetreinen der Nederlandse Spoorwegen	New petrol trains of the Dutch Railways
De wederopbouw in ons land: in Tiel wordt de 50.000ste woning in gebruik genomen	Reconstruction in our country: the 50.000th flat is occupied in Tiel
Binnenschippers blokkeren Neerlands waterwegen	Inland barges block Dutch waterways
Eerste(?) veldloopdag in Nederland	First (?) field run day in the Netherlands
Opening van de Zuid-Bevelandse spoorweg	Opening of the South Bevelandse railway
Bezoek aan het laboratorium aan het Instituut voor Volksvoeding	 Food
Pada Hari Peringatan pemerentah Tentara	Pada Hari Peringatan pemerentah Tentara
Jaarbeurs Utrecht in de beginjaren (HD)	Utrecht fair in the early years (HD)
Horloge met de ontmoeting en het afscheid van Dido en Aeneas	Watch with the Meeting and the Farewell of Dido and Aeneas
Object: Van Uytvanck[verzameling], Gent.	Object: Van Uytvanck [collection], Ghent.
Object: Wilcharmuseum, Alsemberg.	Object: Wilcharmuseum, Alsemberg.
Object: Steinmetzkabinet, Brugge.	Object: Steinmetzkabinet, Bruges.
Kronologische lijst van de bisschoppen van Brugge	Chronological list of the bishops of Bruges
"Koninklijk halssnoer: ""lei niho palaoa"""	Royal necklace: ‘lei niho palaoa’
Walrussenivoor (Odobenus rosmarus); Plantenvezel; Mensenhaar	Walrus ivory (Odobenus rosmarus); Plant fibre; Human hair
